date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
9/11/19 8:31,PAYMENT RECEIVED,1029.079212,0,0bab955bbf338a2894d487cd4ec67b2be7c7daab54b7b2ba40063d29e68e7fd6,71488.95867
11/11/19 10:37,PAYMENT RECEIVED,1019.806192,0,84e2a0934dbea254b49af28d8d76e9142912c5cdc973f2e8a3fd50ca2ac939cc,72508.76487
13/11/19 16:34,PAYMENT RECEIVED,2000,0,8a24f0e0c2697e5b27e520c69d9ae96f39961d3881792a0b17c1384e3702ee9d,74508.76487
13/11/19 16:34,PAYMENT RECEIVED,30.40753991,0,7b79741cbb0e26afc4f90c7b29bf1bf351984a566ab57eab5c6c2d6b38a5fa03,74539.1724
14/11/19 17:12,PAYMENT RECEIVED,0.0005,0,af394a542e8749e0a422c93036dac2a8e0b0afd1532537a7e57ab15c86d27924,74539.1729
15/11/19 15:53,PAYMENT RECEIVED,5.08E-05,0,bab83416e2fe7b8f80d78152520fcf2e0e57858b3d67139f313b49394cd00d19,74539.17296
15/11/19 16:35,PAYMENT RECEIVED,1056.317646,0,190861c491d41109df22a11717ad7822bb720d20eb05dcd5804622bcc7e37650,75595.4906
16/11/19 14:11,PAYMENT RECEIVED,1.18E-05,0,725610c05c4c4cfd24b796aba1a29747eef303092155320bcab02f06ae2584d6,75595.49061
1/11/19 0:00,PAYMENT RECEIVED,0.00010955,0,d3587914f52e15a3ffc6cc5dccab4222394d9c9e8ec92941e642627b64a74721,179842.4506
1/10/19 20:20,PAYMENT RECEIVED,0.00036358,0,1151c0598e8adde865d49a6376c2e9c2ae965e1985d60f75cc17c6708bc65952,158832.3438
22/10/19 20:22,PAYMENT RECEIVED,1191.198068,0,6155aae34c3fa0dfc4d16bd1c087ea63270a560441805152e463b4048fd95ba2,167450.3285
23/10/19 12:26,PAYMENT RECEIVED,1634.93066,0,d8e53bddec41363134b121de12e1062e6e6433092c3a5f6cbf49c0ec6992e221,169085.2592
23/10/19 16:56,PAYMENT RECEIVED,1623.990739,0,28bfcaef74d3449fa19cde77daa1d83c7ded065f747f1105f9548c2a8f1cb993,170709.2499
24/10/19 4:31,PAYMENT RECEIVED,1080.358385,0,fd09539c813ebd21a88a58e124ce827d41ac0efd8ee36f49bbd91a9b417ba129,171789.6083
